id	JP	EN	FR	IT	DE	ES
0	{playwork(0)}は{color(1)}{itemwork(0)}{color(0)}を盗んだ。	{playwork(0)} stole 1 x {color(1)}{itemwork(0)}{color(0)}.	{playwork(0)} a volé 1 : {color(1)}{itemwork(0)}{color(0)}.	{playwork(0)} ha rubato 1 {color(1)}{itemwork(0)}{color(0)}.	{playwork(0)} stiehlt 1 x {color(1)}{itemwork(0)}{color(0)}.	{playwork(0)} ha robado 1 {color(1)}{itemwork(0)}{color(0)}.
1	{playwork(0)}は{color(2)}{itemwork(0)}{color(0)}を盗んだ。	{playwork(0)} stole 1 x {color(2)}{itemwork(0)}{color(0)}.	{playwork(0)} a volé 1 : {color(2)}{itemwork(0)}{color(0)}.	{playwork(0)} ha rubato 1 {color(2)}{itemwork(0)}{color(0)}.	{playwork(0)} stiehlt 1 x {color(2)}{itemwork(0)}{color(0)}.	{playwork(0)} ha robado 1 {color(2)}{itemwork(0)}{color(0)}.
2	盗めなかった。	Attempt at thievery failed!	La tentative de vol a échoué !	Tentativo di furto fallito!	Diebstahl fehlgeschlagen!	¡Robo fallido!
3	何も持っていない。	Nothing to steal!	Rien à voler !	Non c'è niente da rubare!	Nichts zu stehlen!	¡No lleva nada que robar!
4		　		　		
5	盗んだモノを落してしまった！	Dropped the stolen goods!	Biens volés perdus !	Gli oggetti rubati sono caduti!	Gestohlene Gegenstände fallen gelassen!	¡Has soltado los objetos robados!
6	{color(6)}凍結{color(0)}して動けない！	{color(6)}Frozen{color(0)} -- can't move!	Paralysie due au {color(6)}gel{color(0)} !	{color(6)}Congelato{color(0)}. Impossibile agire!	{color(6)}Eingefroren{color(0)} - bewegungsunfähig!	{color(6)}¡Se ha congelado!{color(0)} No se puede mover.
7	{playwork(0)}たちは力尽きてしまった…	{playwork(0)} and co. exhausted all energy...	{playwork(0)} et l'équipe sont à court d'énergie...	{playwork(0)} e gli altri hanno esaurito le forze...	{playwork(0)} und Co. sind völlig erschöpft ...	{playwork(0)} y compañía han agotado todas sus fuerzas.
8	{playwork(0)}は力尽きてしまった…	{playwork(0)} exhausted all energy...	{playwork(0)} est à court d'énergie...	{playwork(0)} ha esaurito le forze...	{playwork(0)} ist völlig erschöpft ...	{playwork(0)} ha agotado todas sus fuerzas.
9		　		　		
10		　		　		
11		　		　		
12		　		　		
13		　		　		
14		　		　		
15		　		　		
16		　		　		
17		　		　		
18		　		　		
19		　		　		
20		　		　		
21		　		　		
22		　		　		
23		　		　		
24		　		　		
25		　		　		
26		　		　		
27		　		　		
28		　		　		
29		　		　		
30		　		　		
31		　		　		
32		　		　		
33	一定時間　{color(1)}攻撃力{color(0)}アップ	{color(1)}ATK.{color(0)} temporarily increased!	{color(1)}ATT.{color(0)} temporairement augmentée !	{color(1)}ATT.{color(0)} aumentato temporaneamente!	{color(1)}ANG{color(0)} vorübergehend erhöht!	¡{color(1)}ATQ{color(0)} aumentado temporalmente!
34	一定時間　{color(1)}防御力{color(0)}ダウン	{color(1)}DEF.{color(0)} temporarily decreased!	{color(1)}DÉF.{color(0)} temporairement réduite !	{color(1)}DIF.{color(0)} diminuita temporaneamente!	{color(1)}ABW{color(0)} vorübergehend gesenkt!	¡{color(1)}DEF{color(0)} reducida temporalmente!
